Date,Team,Relinquished,Notes,Notes2
1998-04-09,Suns,Danny Manning,placed on IL with torn ACL in right knee (out for season),torn ACL in right knee (out for season)
1998-04-11,Knicks,Ben Davis,placed on IL with left Achilles tendinitis,left Achilles tendinitis
1998-04-13,Pacers,Austin Croshere,placed on IR with broken left foot,broken left foot
1998-04-14,Nuggets,Joe Wolf,placed on IR with subluxation of right shoulder,subluxation of right shoulder
1998-04-14,Rockets,Charles Barkley,placed on IL with strained left groin,strained left groin
1998-04-15,Bulls,Keith Booth,placed on IL with strained lower back,strained lower back
1998-04-15,Nets,Jayson Williams,placed on IR with broken right thumb (out for season),broken right thumb (out for season)
1998-04-15,Spurs,Willie Burton,placed on IR with acute right patellar tendinitis,acute right patellar tendinitis
1998-04-16,Blazers,John Crotty,placed on IL with right knee tendinitis,right knee tendinitis
1998-04-17,Heat,Dan Majerle,placed on IL with strained left groin,strained left groin
1998-04-17,Sonics,Dale Ellis,placed on IL with strained abdominal muscle,strained abdominal muscle
1998-04-18,Heat,Tim Hardaway Sr.,placed on IL with right knee inflammation,right knee inflammation
1998-04-18,Suns,Rex Chapman,placed on IR with aggravated left hamstring,aggravated left hamstring
1998-04-19,Nets,Michael Cage,placed on IL with strained left hamstring,strained left hamstring
1998-04-19,Rockets,Brent Price,placed on IL with sore left knee,sore left knee
1999-02-02,Kings,Chris Robinson,placed on IL,placed on IL
1999-02-03,76ers,Darrin Hancock,placed on IL with bruised left thigh,bruised left thigh
1999-02-03,Heat,Terry Mills,placed on IL with sore left knee,sore left knee
1999-02-03,Heat,Voshon Lenard,placed on IR with left leg stress fracture (out 2 months),left leg stress fracture (out 2 months)
1999-02-03,Timberwolves,Trevor Winter,placed on IL with left knee tendinitis,left knee tendinitis
1999-02-03,Wizards,Evric Gray,placed on IL with concussion,concussion
1999-02-03,Wizards,Lorenzo Williams,placed on IR with stress fractures in both feet,stress fractures in both feet
1999-02-04,Blazers,Art Long,placed on IL with knee injury,knee injury
1999-02-04,Blazers,Michael Hawkins,placed on IL,placed on IL
1999-02-04,Blazers,Nikita Morgunov,placed on IL,placed on IL
1999-02-04,Bucks,Donny Marshall,placed on IL,placed on IL
1999-02-04,Bulls,Charles Jones (Rahmel),placed on IR with tendinitis in left foot,tendinitis in left foot
1999-02-04,Bulls,Jeff Sanders,placed on IL,placed on IL
1999-02-04,Celtics,Pervis Ellison,placed on IL,placed on IL
1999-02-04,Clippers,Brian Skinner,placed on IL with surgery on left knee,surgery on left knee
1999-02-04,Clippers,Scott Brooks,placed on IL with strained MCL in knee,strained MCL in knee
1999-02-04,Grizzlies,Dan Muller,placed on IL,placed on IL
1999-02-04,Grizzlies,Lee Mayberry,placed on IL,placed on IL
1999-02-04,Grizzlies,Makhtar Ndiaye / Makhtar N'Diaye,placed on IL with knee injury,knee injury
1999-02-04,Hawks,Scot Pollard,placed on IL,placed on IL
1999-02-04,Heat,Amal McCaskill,placed on IL with back injury,back injury
1999-02-04,Hornets,Anthony Mason Sr.,placed on IR with ruptured right biceps tendon (out for season),ruptured right biceps tendon (out for season)
1999-02-04,Magic,Jonathan Kerner,placed on IL with strained lower back,strained lower back
1999-02-04,Nuggets,Kelly McCarty,placed on IL,placed on IL
1999-02-04,Pacers,Haywoode Workman,placed on IR with pulled groin,pulled groin
1999-02-04,Pacers,Mate Skelin / Mike Skelin,placed on IR with sprained knee,sprained knee
1999-02-04,Pistons,Christian Laettner,placed on IL with torn right Achilles tendon,torn right Achilles tendon
1999-02-04,Pistons,Korleone Young,placed on IL with back spasms,back spasms
1999-02-04,Raptors,Micheal Williams,placed on IL,placed on IL
1999-02-04,Raptors,Negele Knight,placed on IL with sprained right ankle,sprained right ankle
1999-02-04,Rockets,Antoine Carr,placed on IL with surgery on right knee (out 4-6 weeks),surgery on right knee (out 4-6 weeks)
1999-02-04,Rockets,Rodrick Rhodes,placed on IR with torn right pectoral tendon in chest (out 6-8 weeks),torn right pectoral tendon in chest (out 6-8 weeks)
1999-02-04,Sonics,Drew Barry,placed on IL,placed on IL
1999-02-04,Suns,Horacio Llamas,placed on IL with bruised right foot,bruised right foot
1999-02-09,76ers,Scott Williams,placed on IR with stress fractures in both legs,stress fractures in both legs
1999-02-10,Knicks,Latrell Sprewell,placed on IR with stress fracture in right heel,stress fracture in right heel
1999-02-10,Magic,Derek Strong,placed on IL with bruised right foot,bruised right foot
1999-02-13,Sonics,Billy Owens,placed on IR with broken left pinky finger,broken left pinky finger
1999-02-14,Heat,Jamal Mashburn,placed on IR with deep thigh bruise (out 2 weeks),deep thigh bruise (out 2 weeks)
1999-02-16,76ers,Anthony Parker,placed on IL with broken bone in left foot,broken bone in left foot
1999-02-17,Lakers,Sam Jacobson,placed on IL with broken left ring finger,broken left ring finger
1999-02-17,Magic,Gerald Wilkins,placed on IL with left Achilles tendinitis,left Achilles tendinitis
1999-02-17,Magic,Miles Simon,placed on IL with left knee patella tendinitis,left knee patella tendinitis
1999-02-17,Rockets,Charles Barkley,placed on IL with surgery on left knee,surgery on left knee
1999-02-17,Spurs,Will Perdue,placed on IL with sprained right ankle,sprained right ankle
1999-02-18,Cavaliers,Zydrunas Ilgauskas,placed on IR with fractured navicular bone in left foot (out for season),fractured navicular bone in left foot (out for season)
1999-02-18,Jazz,Thurl Bailey,placed on IR with sprained left quadricep / strained hip flexor (P),sprained left quadricep / strained hip flexor (P)
1999-02-18,Mavericks,Erick Strickland,placed on IL with strained right groin,strained right groin
1999-02-19,Blazers,Bonzi Wells,placed on IL with sprained right ankle,sprained right ankle
1999-02-19,Blazers,John Crotty,placed on IL with bruised left quadricep,bruised left quadricep
1999-02-19,Blazers,Nikita Morgunov,placed on IL with sore left knee,sore left knee
1999-02-19,Bullets,Tim Legler,placed on IL,placed on IL
1999-02-19,Bulls,Bill Wennington,placed on IL with strained lower back,strained lower back
1999-02-19,Bulls,Corey Benjamin,placed on IL with abdominal strain,abdominal strain
1999-02-19,Celtics,Walter McCarty,placed on IL with sprained right big toe,sprained right big toe
1999-02-19,Clippers,Charles Smith (Cornelius),placed on IL with shin splints,shin splints
1999-02-19,Clippers,Stojko Vrankovic,placed on IL with back spasms,back spasms
1999-02-19,Grizzlies,J.R. Henderson,placed on IL with right knee tendinitis,right knee tendinitis
1999-02-19,Kings,Oliver Miller,placed on IL with back spasms,back spasms
1999-02-19,Lakers,Tyronn Lue,placed on IL with back spasms,back spasms
1999-02-19,Pacers,Derrick McKey,placed on IR with quadricep tendinitis in right knee,quadricep tendinitis in right knee
1999-02-19,Pacers,Mark Pope,placed on IL with left Achilles tendinitis,left Achilles tendinitis
1999-02-19,Pistons,Steve Henson,placed on IL with strained lower back,strained lower back
1999-02-19,Raptors,Paul Rogers,placed on IR with fractured right ankle,fractured right ankle
1999-02-19,Raptors,Sean Marks,placed on IL with strained lower back,strained lower back
1999-02-19,Sonics,Jelani McCoy,placed on IL with sore back,sore back
1999-02-19,Spurs,Brandon Williams,placed on IR with plantar facitis in right foot,plantar facitis in right foot
1999-02-19,Suns,Gerald Brown,placed on IR with chondromalacia patella left knee,chondromalacia patella left knee
1999-02-19,Suns,Toby Bailey,placed on IL with patellar tendinitis in right knee,patellar tendinitis in right knee
1999-02-19,Timberwolves,Paul Grant,placed on IL with right knee tendinitis,right knee tendinitis
1999-02-19,Timberwolves,Reggie Jordan,placed on IL with lower back spasms,lower back spasms
1999-02-19,Warriors,Tyrone Bogues / Muggsy Bogues,placed on IR with chicken pox,chicken pox
1999-02-22,Hawks,Steve Smith (Delano),placed on IL with a sprained right knee,a sprained right knee
1999-02-23,Nets,Rony Seikaly,placed on IL with sore left foot / plantar fasciatis in right foot,sore left foot / plantar fasciatis in right foot
1999-02-24,Lakers,Ruben Patterson,placed on IL with right knee tendinitis,right knee tendinitis
1999-02-25,Nuggets,Raef LaFrentz,placed on IL with torn ACL in left knee (out for season),torn ACL in left knee (out for season)
1999-02-25,Rockets,Stanley Roberts,placed on IL with strained right hamstring,strained right hamstring
1999-02-26,Mavericks,Cedric Ceballos,placed on IL with fractured right wrist,fractured right wrist
1999-02-27,Bulls,Keith Booth,placed on IL with strained left quadricep,strained left quadricep
1999-02-27,Clippers,Jerome Richardson / Pooh Richardson,placed on IL with sprained left ankle,sprained left ankle
1999-02-27,Clippers,Michael Olowokandi,placed on IL with sprained left ankle,sprained left ankle
1999-02-28,Rockets,Eddie Johnson (Arnet),placed on IL with back spasms / strained lower back,back spasms / strained lower back
1999-03-01,Celtics,Dwayne Schintzius,placed on IL with sore right knee,sore right knee
1999-03-01,Sonics,James Cotton,placed on IR with strained tendon in right leg,strained tendon in right leg
1999-03-02,Clippers,Stojko Vrankovic,placed on IL with lower back spasms,lower back spasms
1999-03-02,Rockets,Antoine Carr,placed on IL with sprained right knee,sprained right knee
1999-03-02,Spurs,Gerard King,placed on IR with cervical spasms,cervical spasms
1999-03-03,Blazers,Carlos Rogers,placed on IL with right knee tendinitis / bruised left quadriceps,right knee tendinitis / bruised left quadriceps
1999-03-04,Sonics,Martyn Norris / Moochie Norris,placed on IL with insomnia,insomnia
1999-03-05,Knicks,David Wingate,placed on IL with right knee patellar tendinitis,right knee patellar tendinitis
1999-03-05,Magic,Danny Schayes,placed on IL with strained left calf,strained left calf
1999-03-08,Bulls,Charles Jones (Rahmel),placed on IL with strained right calf,strained right calf
1999-03-08,Magic,Miles Simon,placed on IL with left knee patella tendinitis,left knee patella tendinitis
1999-03-08,Warriors,Duane Ferrell,placed on IL with left knee tendinitis,left knee tendinitis
1999-03-09,Bulls,Rusty LaRue,placed on IL with sprained left ankle,sprained left ankle
1999-03-10,Clippers,Brian Skinner,placed on IL with strained left knee,strained left knee
1999-03-10,Clippers,Sherman Douglas,placed on IL with strained groin,strained groin
1999-03-11,76ers,Casey Shaw,placed on IL,placed on IL
1999-03-12,Blazers,John Crotty,placed on IL with bruised left quadricep,bruised left quadricep
1999-03-12,Nets,Eric Murdock,placed on IR with cartilage damage in left knee,cartilage damage in left knee
1999-03-12,Timberwolves,Malik Sealy,placed on IL with sprained left ankle,sprained left ankle
1999-03-13,Hawks,LaPhonso Ellis,placed on IL with back spasms,back spasms
1999-03-14,Mavericks,Robert Pack,placed on IR with partially torn right hamstring,partially torn right hamstring
1999-03-14,Pistons,Charles O'Bannon,placed on IL with right knee tendinitis,right knee tendinitis
1999-03-14,Wizards,Jahidi White,placed on IL with sprained right knee,sprained right knee
1999-03-15,Magic,Jonathan Kerner,placed on IL with strained lower back,strained lower back
1999-03-16,Pistons,Korleone Young,placed on IL with back spasms,back spasms
1999-03-16,Raptors,Micheal Williams,placed on IR with sore right foot,sore right foot
1999-03-16,Timberwolves,Anthony Peeler,placed on IL with strained left calf,strained left calf
1999-03-18,Bulls,Andrew Lang,placed on IL with sprained MCL in left knee,sprained MCL in left knee
1999-03-18,Wizards,Randell Jackson,placed on IL with left patella tendinitis,left patella tendinitis
1999-03-19,Clippers,Jerome Richardson / Pooh Richardson,placed on IL with sprained left ankle,sprained left ankle
1999-03-20,Celtics,Ronald Jones / Popeye Jones,placed on IL with sore left knee,sore left knee
1999-03-20,Grizzlies,Lee Mayberry,placed on IL with tendinitis in both knees,tendinitis in both knees
1999-03-21,Magic,Charles Outlaw / Bo Outlaw,placed on IL with fractured left fibula,fractured left fibula
1999-03-22,Bucks,Sam Cassell,placed on IL with sprained right ankle,sprained right ankle
1999-03-22,Celtics,Eric Riley,placed on IL with plantar fasciatis in left foot,plantar fasciatis in left foot
1999-03-22,Nets,Jim McIlvaine,placed on IR with torn cartilage in left shoulder,torn cartilage in left shoulder
1999-03-22,Pistons,Joe Dumars,placed on IL with strained left calf,strained left calf
1999-03-22,Rockets,Matt Maloney,placed on IR with sore right elbow,sore right elbow
1999-03-23,Clippers,Sherman Douglas,placed on IL with strained left quadriceps,strained left quadriceps
1999-03-23,Heat,Marty Conlon,placed on IR with lacerated right pinky finger,lacerated right pinky finger
1999-03-23,Magic,Gerald Wilkins,placed on IR with strained calf,strained calf
1999-03-23,Nets,Scott Burrell,placed on IL with sprained right ankle,sprained right ankle
1999-03-23,Sonics,Vin Baker,placed on IR with partially torn ligament in right thumb,partially torn ligament in right thumb
1999-03-25,Bulls,Ron Harper,placed on IR with dislocated right finger & hyperextended right knee,dislocated right finger & hyperextended right knee
1999-03-26,Grizzlies,Bryant Reeves,placed on IL with right knee injury,right knee injury
1999-03-26,Sonics,Don MacLean,placed on IL with lower back pain,lower back pain
1999-03-27,76ers,Rick Mahorn,placed on IL with plantar fasciatis in right foot,plantar fasciatis in right foot
1999-03-28,Suns,Rex Chapman,placed on IL with turf toe in left foot,turf toe in left foot
1999-03-29,Mavericks,Bruno Sundov,placed on IR with tendinitis in right hand / wrist injury,tendinitis in right hand / wrist injury
1999-03-30,Mavericks,Robert Pack,torn right hamstring (DNP),torn right hamstring (DNP)
1999-03-31,Pistons,Charles O'Bannon,placed on IL with right knee tendinitis,right knee tendinitis
1999-04-01,Heat,Terry Mills,placed on IR with strength deficit in left leg,strength deficit in left leg
1999-04-01,Nuggets,Keon Clark,placed on IR with partially collapsed lung,partially collapsed lung
1999-04-02,Hawks,Steve Smith (Delano),placed on IL with sprained left knee,sprained left knee
1999-04-02,Magic,Nick Anderson,strained left hamstring (DNP),strained left hamstring (DNP)
1999-04-02,Nets,Jayson Williams,placed on IR with broken right leg,broken right leg
1999-04-04,Knicks,Rick Brunson,placed on IR with kidney stones,kidney stones
1999-04-04,Pistons,Christian Laettner,placed on IL with fractured rib,fractured rib
1999-04-05,Lakers,Travis Knight,placed on IL with left Achilles tendinitis,left Achilles tendinitis
1999-04-06,Blazers,Jermaine O'Neal,placed on IL with bone spurs in left ankle,bone spurs in left ankle
1999-04-06,Clippers,Keith Closs,placed on IL with patella tendinitis in right knee,patella tendinitis in right knee
1999-04-06,Nets,Jayson Williams,placed on IR with broken leg (out for season) (per Stats),broken leg (out for season) (per Stats)
1999-04-06,Sonics,Billy Owens,placed on IL with strained left knee,strained left knee
1999-04-07,Rockets,Brent Price,placed on IL with torn cartilage in right knee,torn cartilage in right knee
1999-04-07,Spurs,Andrew Gaze,placed on IL with sprained left ankle,sprained left ankle
1999-04-07,Suns,Toby Bailey,placed on IL with right knee tendinitis,right knee tendinitis
1999-04-08,Sonics,Drew Barry,placed on IR with back pain,back pain
1999-04-09,Bulls,Brent Barry,placed on IL with sprained right ankle,sprained right ankle
1999-04-11,Pistons,Korleone Young,placed on IL with back spasms,back spasms
1999-04-12,Pacers,Fred Hoiberg,placed on IL with lower back spasms,lower back spasms
1999-04-12,Wizards,Juwan Howard,placed on IL with sprained left ankle,sprained left ankle
1999-04-13,76ers,George Lynch,placed on IR with sprained right MCL,sprained right MCL
1999-04-13,Blazers,Brian Shaw,placed on IL with left knee tendinitis,left knee tendinitis
1999-04-13,Heat,Theodore Edwards / Blue Edwards,placed on IL with plantar fasciatis in left foot,plantar fasciatis in left foot
1999-04-14,Blazers,Carlos Rogers,placed on IL with right knee tendinitis,right knee tendinitis
1999-04-14,Wizards,Terry Davis,placed on IL with bruised right shin (date 04-19 per AP),bruised right shin (date 04-19 per AP)
1999-04-17,Mavericks,Robert Pack,placed on IR with torn ligaments in left shoulder (out for season),torn ligaments in left shoulder (out for season)
1999-04-17,Sonics,Vladimir Stepania,placed on IL,placed on IL
1999-04-21,Celtics,Kenny Anderson,placed on IL with strained right hamstring,strained right hamstring
1999-04-21,Heat,Rex Walters,placed on IL with right knee patella tendinitis,right knee patella tendinitis
1999-04-21,Rockets,Othella Harrington,placed on IR with surgery on left toe,surgery on left toe
1999-04-21,Timberwolves,Malik Sealy,placed on IL with sprained left ankle,sprained left ankle
1999-04-21,Timberwolves,Reggie Jordan,placed on IL with sprained right ankle,sprained right ankle
1999-04-24,Blazers,Bonzi Wells,placed on IR with asthma,asthma
1999-04-24,Knicks,Mirsad Turkcan,placed on IL with strained right groin,strained right groin
1999-04-24,Suns,Marko Milic,placed on IR with fractured nose,fractured nose
1999-04-25,76ers,Doug Overton,placed on IL with strained lower back,strained lower back
1999-04-25,Bulls,Charles Jones (Rahmel),placed on IL with left knee patellar tendinitis,left knee patellar tendinitis
1999-04-26,Cavaliers,Brevin Knight,placed on IR with fractured left hand,fractured left hand
1999-04-27,Nets,Keith Van Horn,placed on IL with broken left thumb,broken left thumb
1999-04-27,Pistons,Khalid Reeves,placed on IL with strained lower back (back spasms per Stats),strained lower back (back spasms per Stats)
1999-04-27,Sonics,Rashard Lewis,placed on IR with back strain,back strain
1999-04-28,Suns,Gerald Brown,placed on IL with left knee tendinitis,left knee tendinitis
1999-04-30,Raptors,Sean Marks,placed on IL with upper respiratory infection,upper respiratory infection
1999-05-01,Timberwolves,Dennis Scott,placed on IL with right knee tendinitis,right knee tendinitis
1999-05-02,Heat,Keith Askins,placed on IR with a deep thigh bruise,a deep thigh bruise
1999-05-02,Heat,Marty Conlon,placed on IR with tendinitis in right hand,tendinitis in right hand
1999-05-03,Bulls,Randy Brown,placed on IL with a sprained right ankle,a sprained right ankle
1999-05-04,Bucks,Glenn Robinson,placed on IR with a deep bone bruise in right knee,a deep bone bruise in right knee
1999-05-04,Bucks,Vinny Del Negro,placed on IL with sprained left ankle (out for season),sprained left ankle (out for season)
1999-05-04,Cavaliers,Corie Blount,underwent surgery on left knee to remove torn cartilage,underwent surgery on left knee to remove torn cartilage
1999-05-04,Celtics,Greg Minor,placed on IR with a right hip fracture,a right hip fracture
1999-05-04,Heat,Alonzo Mourning,placed on IR with a right hip pointer / slight eye fracture,a right hip pointer / slight eye fracture
1999-05-04,Knicks,Patrick Ewing Sr.,placed on IR with Achilles tendinitis,Achilles tendinitis
1999-05-04,Rockets,Anthony Miller / Pig Miller,placed on IR with a strained left knee,a strained left knee
1999-05-05,Sonics,Dale Ellis,placed on IL,placed on IL
